"UF de notificação";"Masculino";"Feminino";"Total"
"Roraima";8;13;21
"Pará";154;115;269
"Tocantins";141;75;216
"Maranhão";327;192;519
"Piauí";209;108;317
"Ceará";354;156;510
"Rio Grande do Norte";58;24;82
"Paraíba";24;22;46
"Pernambuco";121;60;181
"Alagoas";29;15;44
"Sergipe";54;15;69
"Bahia";233;147;380
"Minas Gerais";311;162;473
"Espírito Santo";6;2;8
"Rio de Janeiro";2;5;7
"São Paulo";129;47;176
"Paraná";4;1;5
"Rio Grande do Sul";0;1;1
"Mato Grosso do Sul";78;55;133
"Mato Grosso";17;8;25
"Goiás";30;8;38
"Distrito Federal";22;16;38