"UF de notificação";"Masculino";"Feminino";"Total"
"Amazonas";1;0;1
"Roraima";25;18;43
"Pará";219;123;342
"Amapá";1;0;1
"Tocantins";144;91;235
"Maranhão";421;229;650
"Piauí";191;71;262
"Ceará";247;116;363
"Rio Grande do Norte";62;25;87
"Paraíba";20;13;33
"Pernambuco";73;43;116
"Alagoas";20;6;26
"Sergipe";41;14;55
"Bahia";168;68;236
"Minas Gerais";370;184;554
"Espírito Santo";12;6;18
"Rio de Janeiro";6;2;8
"São Paulo";115;61;176
"Paraná";9;4;13
"Santa Catarina";2;0;2
"Rio Grande do Sul";0;2;2
"Mato Grosso do Sul";82;45;127
"Mato Grosso";9;6;15
"Goiás";25;14;39
"Distrito Federal";35;16;51