"UF de notificação";"Masculino";"Feminino";"Total"
"Roraima";23;14;37
"Pará";343;220;563
"Tocantins";169;92;261
"Maranhão";468;259;727
"Piauí";210;94;304
"Ceará";281;110;391
"Rio Grande do Norte";62;34;96
"Paraíba";30;17;47
"Pernambuco";122;68;190
"Alagoas";29;18;47
"Sergipe";54;23;77
"Bahia";226;94;320
"Minas Gerais";538;323;861
"Espírito Santo";16;8;24
"Rio de Janeiro";12;7;19
"São Paulo";124;68;192
"Paraná";4;1;5
"Santa Catarina";3;1;4
"Rio Grande do Sul";4;4;8
"Mato Grosso do Sul";94;57;151
"Mato Grosso";18;3;21
"Goiás";32;20;52
"Distrito Federal";40;19;59