"UF de notificação";"Masculino";"Feminino";"Total"
"Rondônia";1;0;1
"Amazonas";2;0;2
"Roraima";8;6;14
"Pará";184;138;322
"Tocantins";123;79;202
"Maranhão";288;143;431
"Piauí";122;54;176
"Ceará";228;95;323
"Rio Grande do Norte";69;28;97
"Paraíba";34;12;46
"Pernambuco";131;52;183
"Alagoas";50;22;72
"Sergipe";49;15;64
"Bahia";141;70;211
"Minas Gerais";196;110;306
"Espírito Santo";3;5;8
"Rio de Janeiro";8;6;14
"São Paulo";82;46;128
"Paraná";5;2;7
"Santa Catarina";1;1;2
"Rio Grande do Sul";4;3;7
"Mato Grosso do Sul";74;49;123
"Mato Grosso";7;5;12
"Goiás";26;19;45
"Distrito Federal";23;8;31